Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
LARE-CAN,100 Everett Ave.,#8,Chelsea,MA,02150,978-685-2151 ext. 6840,JodiHowshan@americantraininginc.com,,http://www.americantraininginc.com/groups/lare-institute/
Training Resources of America,1515 Hancock Street,Suite 10,Quincy,MA,02169,617-773-1470,,,http://www.tra-inc.org/quincy-location
Quincy Public Schools,34 Coddington Street,,Quincy,MA,02169,617-984-8700,,,quincypublicschools.com/
EDCO,650 Beacon Street,,Boston,MA,02215,617-262-9562,ajay.edco@gmail.com,,http://www.edcoyouthalternative.com/
Old Colony YMCA,320 Main Street,,Brockton,MA,02301,508-583-2155,YouthBuildFallRiver@verizon.net,,https://www.oldcolonyymca.org/
The Sound Lab,157 Main Street,,Brockton,MA,02302,508-510-4267,thesoundlabma@gmail.com,,http://soundlabma.com/
YouthBuild Brockton,60 Skinner Street,,Brockton,MA,02302,508-894-2816,jbarakat@oldcolonyymca.org,,https://www.oldcolonyymca.org/youthbuild
Boys and Girls Club of Plymouth,9 Resnik Road,,Plymouth,MA,02360,508-746-6070,cyoung@bgcplymouth.org,,http://www.bgcplymouth.org/
Bay Cove Academy,156 Lawton Street,,Brookline,MA,02446,617-371-3000,,,https://www.baycovehumanservices.org/
More Than Words,56 Felton Street,,Waltham,MA,02453,781-314-9330,info@mtwyouth.org,,https://mtwyouth.org/
Job Training & Employment Corporation,372 North Street,,Hyannis,MA,02601,508-771-5627,,,https://www.masshire-capeandislands.com/youth/
Attleboro Area School to Career Partnership,100 Rathbun Willard Drive,,Attleboro,MA,02703,508-222-5150 ext.1254,alouro@schooltocareer.info,,https://www.schooltocareer.info/
Bristol Community College,11 Field Road,,Attleboro,MA,02703,508-226-2484,Attleboro@BristolCC.edu,,http://www.bristolcc.edu/locations/attleboro/
"SER Jobs for Progress, Inc.",164 Bedford Street,,Fall River,MA,02720,508-676-1916 ext. 18,mferreira-bedard@ser-jobs.com,,www.ser-jobs.com/
Fall River Public Schools,360 Elsbree Street,,Fall River,MA,02720,508-675-8420,,,https://www.fallriverschools.org/
"People Acting in Community Endeavors, Inc. (PACE)",166 William Street,,New Bedford,MA,02740,508-984-3558,,,http://paceinfo.org/programs-2/youthbuild/
UMASS Dartmouth,285 Old Westport Rd.,,Dartmouth,MA,02745,508-999-8263,ckruger@umassd.edu,,https://www.umassd.edu/
PAACA,360 Coggeshall St,,New Bedford,MA,02746,508-979-1580,,,http://paaca.org/youth-services/
Taunton Area School to Career Partnership,One Taunton Green,,Taunton,MA,02780,508-821-2846,,,
Mt. Hope High School Youth Center,199 Chestnut Stree,,Bristol,RI,02809,401-481-3508,,,http://www.dlt.ri.gov/youthworks411/BristolWarrenYC.htm
Charlestown Youth Center,4350 South County Trail,,Charlestown,RI,02813,401-596-7272 ext. 4115,,,http://www.dlt.ri.gov/youthworks411/CharlestownYC.htm
Newport Youth Center,95 Church Street,,Newport,RI,02840,401-692-2695,,,http://www.dlt.ri.gov/youthworks411/NewportYC.htm
North Kingstown Youth Center,415 Tower Hill Road,,North Kingstown,RI,02852,401-789-3016 ext. 2365,,,http://www.dlt.ri.gov/youthworks411/NoKingstownYC.htm
Pawtucket Youth Center,120 High Street,,Pawtucket,RI,02860,401-305-5919,,,http://www.dlt.ri.gov/youthworks411/PawtucketYC.htm
Blackstone Valley Community Action Program,32 Goff Avenue,,Pawtucket,RI,02860,401-305-5919,,,http://bvcap.org/education-and-job-training/
Wakefield Youth Center,1935 Kingstown Rd,,Wakefield,RI,02879,401-789-3016 ext. 2365,,,http://www.dlt.ri.gov/youthworks411/WakefieldYC.htm
Westerly Youth Center,34 Pond Street,,Westerly,RI,02891,401-596-7272 ext. 4116,,,http://www.dlt.ri.gov/youthworks411/WesterlyYC.htm
Kent County Youth Center,289 Cowesett Avenue,Unit 15/16,West Warwick,RI,02893,401-732-5562,,,http://www.dlt.ri.gov/youthworks411/WarwickYC.htm
Woonsocket Youth Center,65 Main Street,,Woonsocket,RI,02895,401-671-2971,,,http://woonsocketyouthcenter.tripod.com/
Providence Skills Center,31 Providence Place,,Providence,RI,02903,401-400-6035,,,http://www.dlt.ri.gov/youthworks411/ProvidenceYC.htm
Providenve Youth Center,150 Empire Street,,Providence,RI,02904,401-480-8984,,,http://www.dlt.ri.gov/youthworks411/ProvidenceYC.htm
YouthBuild Providence,66 Chaffee Street,,Providence,RI,02909,401-273-7528,,,http://ybprep.org/youthbuild-providence/
Cranston Youth Center,656 Park Avenue,,Cranston,RI,02910,401-562-8325,,,http://www.dlt.ri.gov/youthworks411/CranstonYC.htm
North Providence Youth Center,33 Maple Avenue,,North Providence,RI,02911,401-519-1929,,,http://www.dlt.ri.gov/youthworks411/NoProvidenceYC.htm
East Providence Youth Center (Weaver House),31 Grove Avenue,,East Providence,RI,02915,401-383-3094,,,http://www.dlt.ri.gov/youthworks411/EastProvYC.htm
Johnston Youth Center,1126 Hartford Avenue,,Johnston,RI,02919,401-519-1929,,,http://www.dlt.ri.gov/youthworks411/JohnstonYC.htm
"MY TURN - Milford, Hitchiner Manufacturing Program",127 Old Wilton Road,,Milford,NH,03055,603-718-9232,lhurley@my-turn.org,,https://www.my-turn.org/
"MY TUN - Nashua, Manufacturing Employment Plus Program",1 Elm Street,,Nashua,NH,03060,603-204-0522,hjoseph@my-turn.org,,https://www.my-turn.org/
"MY TURN - Nashua, Employment Plus Program",1 Positive Place,,Nashua,NH,03060,603-883-0523 ext. 223,jellison@my-turn.org,,https://www.my-turn.org/
MY TURN - Nashua High Schools North & South Diploma Plus Program,36 Riverside Drive,,Nashua,NH,03060,603-589-8765,jwilliams@my-turn.org,,https://www.my-turn.org/
"MY TURN - Manchester, Employment Plus Program",1066 Front Street,,Manchester,NH,03102,603-507-1568,ahannon@my-turn.org,,https://www.my-turn.org/
NH Jobs for America's Graduates (JAG),175 Ammon Dr,Ste 212,Manchester,NH,03103,603-647-2300,,,http://nh-jag.org/
"MY TURN - Manchester, Central High School Diploma Plus Program",207 Lowell Street,,Manchester,NH,03104,603-321-3302,nwilliams@my-turn.org,,https://www.my-turn.org/
"MY TURN - Lakes Region,Employment Plus Program",20 Canal Street,,Franklin,NH,03235,603-671-7002,sfortin@my-turn.org ,,https://www.my-turn.org/
Second Start,450 N State Street,,Concord,NH,03301,603-225-3318,info@second-start.org,,http://www.second-start.org/alternative-high-school/transitional-employment-and-training-program/
"MY TURN - Rochester, Employment Plus Program",33 Hanson Street,,Rochester,NH,03867,603-335-1177,lbasham@my-turn.org,,https://www.my-turn.org/
Seacoast Youth Services,867 Lafayette Road,PO Box 1381,Seabrook,NH,03874,603-474-3332,,,https://www.seacoastyouthservices.org/
The Cheeta Project,14 Baxter Boulevard,,Portland,ME,04101,207-773-4753 ext. 8263,,207-879-4231,
Preble Street Teen Center,343 Cumberland Avenue,,Portland,ME,04101,207-874-1197,,207-842-3614,https://www.preblestreet.org/what-we-do/teen-services/teen-center/
Parkside Neighborhood Center,85B Grant Street,,Portland,ME,04101,877-429-6884,,877-874-1155,https://www.opportunityalliance.org/
"LearningWorks (aka Portland West, Inc.)",181 Brackett Street,,Portland,ME,04102,207-775-0105 ext. 142,,,https://www.learningworks.me/our-programs/youth-building-alternatives/
New Beginnings,134 College Street,,Lewiston,ME,04240,207-795-6831,,207-795-4098,https://newbeginmaine.org/
Tree Street Youth Center,144 Howe Street,,Lewiston,ME,04240,207-577-6386,,,https://treestreetyouth.org/
Home Counselors Inc.,1 Front Street,,Bath,ME,04530,207-596-0359,,207-596-0350,http://www.homecounselorsinc.org
Home Counselors Inc.,115 Main Street,,Damariscotta,ME,04543,207-596-0359,,207-596-0350,http://www.homecounselorsinc.org
Home Counselors Inc.,118 High Street,,Belfast,ME,04915,207-596-0359,,207-596-0350,http://www.homecounselorsinc.org
White River Junction (Hartford) Career Resource Center,118 Prospect Street,Suite 300,White River Junction,VT,05001,802-295-8805,,802-295-8819,https://labor.vermont.gov/
Springfield Career Resource Center,56 Main Street,Suite 101,Springfield,VT,05156,802-289-0999,,,https://labor.vermont.gov/
Bennington Career Resource Center,200 Verterans Memorial Dr,Suite 2,Bennington,VT,05201,802-442-6376,,,https://labor.vermont.gov/
Brattleboro Career Resource Center,232 Main Street,Room 132,Brattleboro,VT,05301,802-254-4555,,,https://labor.vermont.gov/
Resource Youth Build,266 Pine Street,,Burlington,VT,05401,802-658-4143 ext. 39,info@resourcevt.org,,http://www.retrainvt.org/retrain/youthbuild
Burlington Career Resource Center,63 Pearl Street,,Burlingtom,VT,05401,802-863-7676,,,https://labor.vermont.gov/
Saint Albans Career Resource Center,27 Federal Street,Suite 100,Saint Albans,VT,05478,802-524-6585,,802-524-7933,https://labor.vermont.gov/
Resource Household Goods and Building Material Store,30 Granite Street,,Barre,VT,05641,802-477-7800 ext. 12,info@resourcevt.org,,http://www.retrainvt.org/retrain/youthbuild
Barre Career Resource Center,5 Perry Street,Suite 200,Barre,VT,05641,802-476-2600,,,https://labor.vermont.gov/
Morrisville Career Resource Center,197 Harrel Street,,Morrisville,VT,05661,802-888-4545,,,https://labor.vermont.gov/
Rutland Career Resource Center,88 Merchants Row,200 Asa Bloomer Bldg,Rutland,VT,05701,802-786-5837,,,https://labor.vermont.gov/
Middlebury Career Resource Center,1590 Route 7 South,Suite 5,Middlebury,VT,05753,802-388-4921,,802-388-4630,https://labor.vermont.gov/
Saint Johnsbury Career Resource Center,1197 Maint Street,Suite 1,Saint Johnsburg,VT,05819,802-748-3177,,802-748-6620,https://labor.vermont.gov/
Newport Career Resource Center,100 Main Street,Suite 210,Newport,VT,05855,802-334-6545,,,https://labor.vermont.gov/
OIC of New Britain,114 North St,,New Britain,CT,06051,860-224-7151,,860-225-8397,http://unitedwayinc.galaxydigital.com/agency/detail/?agency_id=29651
Human Resources Agency of New Britain,180 Clinton Street,,New Britain,CT,06053,860-836-6991,,860-225-4843,https://www.hranbct.org/
Capital Workforce Partners - New Britain YouthBuild,270 Lafayette Street,,New Britain,CT,06053,860-522-1111,,,https://capitalworkforce.org/youthbuild/
NCCC Team Success Program,Park Place East,,Winsted,CT,06098,860-738-6335,,,https://www.nwcc.edu/
NCCC Foundations Program,Park Place East,,Winsted,CT,06098,860-738-6444,,,https://www.nwcc.edu/
Capital Workforce Partners - Summer Youth Employment and Learning Program,One Union Place,,Hartford,CT,06103,860-522-1111,,,https://capitalworkforce.org/syelp/
Capital Workforce Partners - Opportunity Youth,One Union Place,,Hartford,CT,06103,860-899-3495,,,https://capitalworkforce.org/opportunity-youth/
Urban League of Greater Hartford,140 Woodland Street,,Hartford,CT,06105,860-527-0147,,,http://www.ulgh.org/
"Our Piece of the Pie, Inc",26-27 Sargent Street,,Hartford,CT,06105,860-761-7300,Info@OPP.org,860-297-0174,https://opp.org/youth-resources/employment/
Blue Hills Civic Association - BHEST Program,846 Asylum Avenue,,Hartford,CT,06105,860-560-7665 ext.306,,,https://www.bluehillscivic.org/bhest
Capitol Region Education Council,111 Charter Oak Avenue,,Hartford,CT,06106,860-509-3629,kbrewer@crec.org,,http://www.crec.org/
Hartford Communities That Care,2550 Main Street,,Hartford,CT,06120,860-724-1223,info@hartfordctc.org,860-724-1299,https://www.hartfordctc.org/
Community Renewal Team,555 Windsor Street,,Hartford,CT,06120,860-560-5600,,,http://www.crtct.org/en/
EASTCONN - Directions,1320 Main Street,,Willimantic,CT,06226,860-423-2591,aded@eastconn.org,,https://www.eastconn.org/youth-employment
EASTCONN Northeast Learning Center,562 Westcott Road,,Danielson,CT,06239,860-779-3770,aded@eastconn.org,,https://www.eastconn.org/high-school-completion-2
New London Youth Affairs,"111 Union St,",,New London,CT,06320,860-440-6653,aded@eastconn.org,,https://www.eastconn.org/high-school-completion-2
New London Youth  Affairs,120 Broad Street,,New London ,CT,06320,860-442-4994,nlya@ci.new-london.ct.us,,http://www.newlondonyouthaffairs.org/
Norwich Human Services,80 Broadway,,Norwich,CT,06360,860-823-3473,pdixe@cityofnorwich.org,860-892-6031,http://www.norwichct.org/212/Human-Services
Girls Incorporated of Meriden,130 Lincoln Street,,Meriden,CT,06451,203-235-7146,,,https://www.girlsincmeriden.org/
Women and Families Center,169 Colony Road,,Meriden,CT,06451,203-235-9297 ext. 131,thunter@womenfamilies.org,203-237-7571,http://www.womenfamilies.org/
Milford Employment and Training,150 Gulf Street,,Milford,CT,06460,203-783-3243,,203-783-3692,https://www.ci.milford.ct.us/
Area Cooperative Educational Services,350 State Street,,New Haven,CT,06473,203-498-6800,acesinfo@aces.org,,https://www.aces.org/
"EMERGE Connecticut, Inc.",830 Grand Avenue,,New Haven,CT,06511,203-562-0171,info@emergect.net,,https://www.emergect.net/
Hamden Public Schools,2040 Dixwell Ave,,Hamden,CT,06514,203-392-5933,,,https://www.hamden.org/
Common Ground High School,358 Springside Ave,,New Haven,CT,06515,203-389-4333 ext. 1213,rholcombe@commongroundct.org,203-389-7458,http://commongroundct.org/
Higher Heights Youth Empowerment,419 Whalley Ave,#404,New Haven,CT,06515,203-498-1087,,,https://www.higherheightsyouth.org/
Children's Community Programs of CT,446-A Blake Street,,New Haven,CT,06515,203-786-6403 ext. 116,rwashington@ccp-ct.org,,http://www.ccp-ct.org/
New Haven Board Promise,59 Meadow Street,# 3,New Haven,CT,06519,475-220-1730,youthfamilycommunityengagementteam@new-haven.k12.ct.us,,http://newhavenpromise.org/partnership/developing-the-city-of-new-haven/
"Marrakech , Inc",6 Lunar Drive,,Woodbridge,CT,06525,203-398-2970 ext.1323,rmartin@marrakechinc.org,203-397-0658,https://www.marrakechinc.org/
New Vision International Development Corp.,130 Gregory Street,,Bridgeport,CT,06604,203-384-1077,,,https://www.nvim.org/
CRI - Strive Youth,350 Fairfield Avenue,,Bridgeport,CT,06604,203-953-3277,,,http://careerresources.org/
Goodwill Industries,165 Ocean Terrace,,Bridgeport,CT,06605,203-368-6511,,203-335-9326,https://www.gwct.org/
"FSW, Inc.",475 Clinton Avenue,,Bridgeport,CT,06605,203-368-5629,hmartens@LifeBridgeCT.org,,http://www.lifebridgect.org/
Valley Medical,4637 Main Street,,Bridgeport,CT,06606,203-378-2210,,,http://www.valleymedicalinstitute.com/
Hall Neigborhood House,52 George E. Pipkin's Way,,Bridgeport,CT,06608,203-345-2000,info@hnhonline.org,,https://hnhonline.org/
CONNCAP / NVCC,249 Thomaston Ave,,Waterbury,CT,06702,203-574-6971 ext. 464,,203-573-8951,http://www.nrwib.org/
Waterbury Youth Services,83 Prospect Street,,Waterbury,CT,06702,203-573-0264,contactus@waterburyyouthservices.org,203-755-4835,https://waterburyyouthservices.org/
YouthBuild Waterbury,249 Thomaston Ave,,Waterbury,CT,06702-1036,203-437-3380,,,http://www.nrwib.org/ybwaterbury
Northwest Regional Workforce Board - Out of School Program,249 Thomaston Ave,,Waterbury,CT,06702-1036,203-437-3380,,,http://www.nrwib.org/content/2813/2961/
Northwest Regional Workforce Board - In School Program,249 Thomaston Ave,,Waterbury,CT,06702-1036,203-437-3380,,,http://www.nrwib.org/content/2813/2959/default.aspx
NVCC WAVE Program,750 Chase Parkway,,Waterbury,CT,06708,203-575-8221,Lstango@nv.edu,,https://www.nv.edu/
WERACE,10 Crosby Street,,Danbury,CT,06810,203-796-0263,,,https://sites.google.com/a/danbury.k12.ct.us/werace/
Norwalk Housing Authority (NHA),20 West Avenue,,Norwalk,CT,06854,203-852-1144 ext. 102,wgerbi@norwalkha.org,,http://www.norwalkha.org/learning-centers.php
Urban League of Southern Connecticut,137 Henry St,,Stamford,CT,06901,203-327-5810,admin@ulsc.org,,https://www.ulsc.org/
All Stars Project New Jersey,33 Washington Street,,Newark,NJ,07102,973-856-6694,jhorton@allstars.org,,https://allstars.org/locations/new-jersey/
"ASPIRA, Inc. of New Jersey",390 Broad Street,,Newark,NJ,07104,973-484-7554,,,https://aspira.org/book/programs
"YouthBuild Newark, Inc.",571 Central Avenue,2nd Floor,Newark,NJ,07107,973-297-0592,,,http://www.youthbuildnewarknj.org/programs/youthbuild/
npower - New Jersey,285 West Side Ave,,Jersey City,NJ,07305,908-892-8190,Bea.Tassot@npower.org,,https://www.npower.org/
Eckerd Connects Workforce Development,213 Broadway,,Long Beach,NJ,07740,718-974-5991,,,https://eckerd.org/region/nj/
Housing Authority of the City of Camden,2021 Watson Street,2nd Floor,Camden,NJ,08105,856-968-2775,,,http://www.camdenhousing.org/services/youth-build/
Eckerd Connects Workforce Development,102 N Broad Street,,Trenton,NJ,08608,609-954-5635,,,https://eckerd.org/region/nj/
"Isles, Inc.",10 Wood Street,,Trenton,NJ,08618,609-341-4794,,,https://isles.org/our-approach-educate-and-train-isles-youth-institute/
New Jersey Youth ChalleNGe Academy,PO Box 340,,Trenton,NJ,08625,609-556-6050,RPM@dmava.nj.gov,,https://www.nj.gov/military/challenge/index.html
Eckerd Connects Workforce Development,1800 Route 9,,Toms River,NJ,08755,732-473-9090,,,https://eckerd.org/region/nj/
Eckerd Connects Workforce Development,1959 Route 9 South,,Toms River,NJ,08755,732-240-5995,,,https://eckerd.org/region/nj/
Sheltering Arms,305 7th Avenue,Second Floor,New York,NY,10001,212-675-1000,Info@ShelteringArmsNY.org,,
CAMBA LTW at Cascades High School,198 Forsyth Street,,New York,NY,10002,718-675-3378,,,https://www.camba.org/about
Genesys Works New York,55 Exchange Place,Suite 503,New York,NY,10005,917-771-2421,info.nyc@genesysworks.org,,
Big Brothers Big Sisters of New York City,40 Rector Street,,New York,NY,10006,212-686-2042,help@bigsnyc.org,,https://www.bigsnyc.org/about
National Academy Foundation,218 W 40th Street,5th Floor,New York,NY,10018,212-635-2400,,,https://naf.org/about
Settlement Housing Fund Inc.,247 37th Street,4th Floor,New York,NY,10018,718-455-4308,,,https://www.settlementhousingfund.org/dreams_youthbuild.html
npower - Harlem,315 E 105th Street,Suite 104,New York,NY,10029,,admissionsHarlem@npower.org,,https://www.npower.org/locations/
STRIVE Future Leaders,205 East 122nd Street,3rd floor,New York,NY,10035,212-360-1100,info@striveinternational.org,,https://strive.org/programs
All Stars Project New York,543 W 42nd Street,,New York,NY,10036,212-941-9400 ext. 421,nyprograms@allstars.org,,https://allstars.org/locations/newyork/
Abyssinian Development Corporation: YouthBuild Program,669 Lenox Avenue,,New York,NY,10037,646-230-0579,,,https://www.nypl.org/blog/2015/03/17/adc-youthbuild
New York City Department of Youth and Community Development,123 Williams Street,17th Floor,New York,NY,10038,212-442-6006,,212-442-5894,https://www1.nyc.gov/site/dycd/involved/boards-and-councils/nyc-youth-board.page
Eckerd Career Connections,2155 University Avenue,Gould Hall Room 204,Bronx,NY,10453,718-289-5387,,,https://eckerd.org/workforce-development/programs/eckerd-connects-workforce-nyc/
Per Scholas New York,804 E 138th Street #2,,Bronx,NY,10454,718-991-8400,info@perscholas.org,,https://perscholas.org/about?city=new-york
Putnam County Youth Bureau,110 Old Route 6,,Carmel,NY,10512,845-808-1600 ext.46120,,845-808-1600,https://www.putnamcountyny.com/youth/youth-services/
Westchester County Youth Bureau,112 E. Post Road,3rd Floor,White Plains,NY,10601,914-995-2760,,914-995-3871,http://youth.westchestergov.com/youth-bureau/
County of Westchester,148 Martine Ave,,White Plains,NY,10601,914-995-3924,,,https://www.westchesterputnamonestop.com/youth/youthbuild
Orange County Youth Bureau,18 Seward Ave,Suite 102,Middletown,NY,10940,845-615-3612,,845-346-1170,https://www.orangecountygov.com/657/Youth-Bureau
Rockland County Youth Bureau,50 Sanatorium Road,"Building A, 7th Floor",Pomona,NY,10970,845-364-2929,,845-638-5377,http://rocklandgov.com/departments/youth-bureau/
Eckerd Career Connections,47-10 32nd Place,Suite 202,Long Island City,NY,11101,718-255-6956,,,https://eckerd.org/workforce-development/programs/eckerd-connects-workforce-nyc/
